"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.888576958E0,-1.852216564E-2,1.932185004E-4,2.140665650E-3,1.864645818E-2
1.898520958E0,-3.839103640E-3,-3.787127375E-3,-2.225859582E-2,2.290253564E-2
1.908464958E0,9.848844479E-3,-6.151937814E-3,-2.240828454E-2,2.523840908E-2
1.918408958E0,-1.640820988E-2,3.342770962E-3,1.740949988E-2,2.415562368E-2
1.928352958E0,1.520276526E-2,7.008879245E-3,-1.432450891E-2,2.203270331E-2
1.938296958E0,3.402663352E-2,-2.683232445E-3,-3.696609735E-3,3.433185764E-2
1.948240958E0,1.557188446E-2,-1.395990760E-3,3.938099742E-3,1.612268605E-2
1.958184958E0,8.955015340E-3,9.592905454E-4,-2.648203969E-3,9.387519499E-3
1.968128958E0,6.199332238E-3,2.312284171E-2,-2.498515248E-3,2.406948498E-2
1.978072958E0,1.133535288E-2,4.554227251E-3,-1.282645226E-2,1.771296385E-2
1.988016958E0,1.233021551E-2,-1.515826704E-3,-1.177804649E-2,1.711882952E-2
1.997960958E0,-2.088228003E-3,2.139299777E-3,-7.436488867E-3,8.014902769E-3
2.007904958E0,-1.037774798E-2,-9.526850190E-5,-1.132839561E-2,1.536356977E-2
2.017848958E0,1.005135914E-2,-1.170017345E-2,-5.502229929E-4,1.543459182E-2
2.027793958E0,2.352444492E-3,-1.070646199E-2,-1.327259481E-2,1.721406682E-2
2.037737958E0,-2.040364888E-2,9.671066282E-4,-1.057761312E-2,2.300282770E-2
2.047681958E0,-1.992474822E-2,8.731267978E-3,-1.985772908E-2,2.945437211E-2
2.057625958E0,-1.425192120E-2,4.379358958E-3,-1.431924641E-2,2.067212763E-2
2.067569958E0,-2.034066798E-2,-5.277258307E-3,-6.086366773E-3,2.187775330E-2
2.077513958E0,-3.806274722E-2,-1.269496299E-2,-3.241696358E-3,4.025473148E-2
2.087457958E0,-5.162500761E-2,-1.430548718E-2,-4.439206123E-3,5.375402241E-2
2.097401958E0,-1.770174189E-2,-5.318919718E-3,-1.237270832E-2,2.224244780E-2
2.107345958E0,-2.147723422E-3,7.907491224E-4,-6.384574771E-3,6.782388597E-3
2.117289958E0,-1.067332929E-2,3.823937424E-3,1.548927426E-3,1.144297303E-2
2.127233958E0,-6.229961598E-3,5.150953881E-3,-5.461299419E-4,8.102037109E-3
2.137177958E0,-5.332551040E-3,-1.028333372E-4,-9.228660464E-3,1.065902666E-2
2.147121958E0,-2.403758378E-2,7.886158023E-4,-8.180839419E-3,2.540380842E-2
2.157065958E0,-3.944702527E-2,-1.042906643E-2,-1.147399127E-2,4.238497028E-2
2.167009958E0,-3.891480074E-2,-1.711133757E-2,1.549512148E-3,4.253893015E-2
2.176953958E0,-6.118958148E-2,-1.094806620E-2,-1.297029376E-2,6.350002799E-2
2.186898958E0,-5.934737964E-2,-9.361081626E-3,9.332740903E-3,6.080165600E-2
2.196842958E0,-7.677864670E-2,-8.254537177E-3,-1.940866292E-2,7.962282442E-2
2.206786958E0,-5.641382241E-2,-4.936511815E-4,9.484183788E-4,5.642395367E-2
2.216730958E0,-3.484350782E-2,-1.219773496E-2,-9.981197119E-4,3.693035362E-2
2.226674958E0,-5.274520165E-2,-2.843098976E-3,-1.417131186E-2,5.468972105E-2
2.236618958E0,-4.313754568E-2,-1.494327223E-2,-9.531546235E-3,4.663689104E-2
2.246562958E0,-3.895591855E-2,-1.614473343E-2,-1.598628759E-3,4.219918982E-2
2.256506958E0,-4.389606660E-2,-2.648470291E-2,-8.633998632E-3,5.198894194E-2
2.266450958E0,-3.371975063E-2,-1.707622230E-2,-9.981197119E-3,3.909275184E-2
2.276394958E0,-4.602444853E-2,4.174194778E-3,-1.731652915E-2,4.935114939E-2
2.286338958E0,-3.535821355E-2,5.055233133E-3,-1.147925377E-2,3.751708830E-2
2.296282958E0,-6.573078954E-3,-6.593055418E-4,-1.956185997E-2,2.064718906E-2
2.306227083E0,3.505382029E-2,-4.377106866E-3,-9.233338237E-3,3.651279114E-2
2.316171083E0,4.547670146E-2,4.115772871E-3,-1.000458598E-3,4.567352493E-2
2.326115083E0,2.901835171E-2,-7.067136699E-4,-9.831508398E-3,3.064674106E-2
2.336059083E0,5.956833587E-2,1.484709924E-2,-9.082480073E-3,6.205895937E-2
2.346004083E0,2.601258593E-2,1.378328057E-2,-2.015944541E-2,3.567963970E-2
2.355948083E0,-5.003637850E-2,8.930827053E-3,-3.992478848E-3,5.098371047E-2
2.365892083E0,-6.644525077E-2,-8.455384467E-3,-3.693686128E-3,6.708284574E-2
2.375836083E0,-4.732247558E-2,-8.743917150E-4,-1.447185874E-2,4.949359506E-2
2.385780083E0,-3.714900100E-2,1.019106648E-2,-1.357314169E-2,4.084282418E-2
2.395724083E0,-8.244044166E-2,-4.572344483E-3,-1.477065146E-2,8.387791664E-2
